"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04820",NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","24/200","232/9772",5.08686667380946e-11,1.19032680167141e-08,1.09769228224309e-08,"12825/21956/14268/98660/13346/12831/98932/16905/13806/22004/12843/320502/11468/233199/71960/12834/12833/17888/140781/12842/20391/17880/433182/11474",24
"mmu04614","Organismal Systems","Endocrine system","mmu04614","Renin-angiotensin system - Mus musculus (house mouse)","10/200","37/9772",2.21812582242356e-09,2.59520721223557e-07,2.39324101893068e-07,"13648/16619/16616/16617/18050/16622/16612/50492/11606/17227",10
"mmu04110","Cellular Processes","Cell growth and death","mmu04110","Cell cycle - Mus musculus (house mouse)","17/200","157/9772",1.94773731454462e-08,1.5192351053448e-06,1.40100403326894e-06,"17215/12235/12236/12428/55948/107995/18817/12534/67177/17218/22137/12442/20877/268697/67052/12532/67849",17
"mmu04814","Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","17/200","198/9772",5.8319382691276e-07,3.41168388743965e-05,3.14617722413463e-05,"21956/98932/16571/73804/22004/11468/53857/110033/71960/17888/140781/17880/22153/100502766/19348/11475/16551",17
"mmu04974","Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption - Mus musculus (house mouse)","11/200","108/9772",1.22279147234803e-05,0.00057226640905888,0.000527731056487047,"12825/98660/12831/170745/329941/12819/12843/12834/12833/12822/12842",11
"mmu04961","Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse)","8/200","61/9772",3.10985353533876e-05,0.00121284287878212,0.00111845609604289,"98660/13648/16619/16616/16617/18050/16622/16612",8
"mmu04914","Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation - Mus musculus (house mouse)","9/200","93/9772",0.000114709797848399,0.00383458467093218,0.00353616670058973,"12235/20878/12428/110033/18817/12534/12442/268697/12532",9
"mmu05410","Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy - Mus musculus (house mouse)","9/200","100/9772",0.000200586682949174,0.00586716047626335,0.00541056184270799,"21956/13346/16905/22004/12391/11606/17888/140781/20391",9
"mmu05414","Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","9/200","103/9772",0.00025105417264549,0.00652740848878275,0.00601942753126615,"21956/13346/16905/22004/12391/11606/17888/140781/20391",9
"mmu04270","Organismal Systems","Circulatory system","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","10/200","144/9772",0.000732371698550012,0.0171374977460703,0.0158038103371318,"98932/13118/13117/11468/71960/11606/54409/223780/17880/11475",10
"mmu04115","Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","7/200","75/9772",0.000828629771969754,0.0176272151491748,0.016255416579311,"55948/12534/12442/268697/20135/29813/29870",7
"mmu04114","Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis - Mus musculus (house mouse)","9/200","123/9772",0.000926885111650836,0.0180742596771913,0.0166676708674054,"12235/20878/107995/18817/12534/56739/12442/268697/12532",9
"mmu05415","Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","12/200","217/9772",0.00166176409886673,0.0299117537796011,0.0275839384832129,"12825/67273/84682/17395/12843/14433/407790/17390/11606/17227/12842/11951",12
"mmu04512","Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","7/200","89/9772",0.00226264140052679,0.0378184348373763,0.0348752997825558,"14268/21923/12843/12834/12833/15366/12842",7
"mmu04610","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","7/200","94/9772",0.00308580912286779,0.0481386223167375,0.0443923417675717,"11905/12258/12267/14058/12759/16644/12268",7
