sample,group,AUC.urea,creat.D2,mIGF1,hIGF1
Ctrl1,Ctrl,840,2.434292343,36376.64,0
Ctrl2,Ctrl,617.3,0.931786543,47951.03,0
Ctrl3,Ctrl,653.4,2.329466357,38581.29,0
Ctrl5,Ctrl,1074,1.386032483,23148.77,0
Ctrl6,Ctrl,640.5,2.259582367,69997.48,0
Ctrl.IGF1_2,Ctrl.IGF1,1038,2.993364269,5052.311,0.832152
Ctrl.IGF1_5,Ctrl.IGF1,1031,2.818654292,3398.828,0.767249
Ctrl.IGF1_6,Ctrl.IGF1,868.1,1.735452436,6062.774,1.274112
LPHC.IGF1_1,LPHC.IGF1,845.3,2.993364269,183.7204,1.43637
LPHC.IGF1_2,LPHC.IGF1,771.6,2.224640371,183.7204,0.812063
LPHC.IGF1_3,LPHC.IGF1,616.6,2.08487239,91.86021,0.836788
LPHC.IGF1_4,LPHC.IGF1,780.9,3.237958237,183.7204,0.689983
LPHC.IGF1_5,LPHC.IGF1,644.3,1.945104408,0,0.620444
LPHC1,LPHC,445.1,0.512482599,4225.569,0
LPHC2,LPHC,324.1,0.372714617,3398.828,0
LPHC4,LPHC,231.8,0.302830626,7624.397,0
LPHC5,LPHC,254.2,0.372714617,4041.849,0
LPHC6,LPHC,346.9,0.302830626,7532.537,0
